Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP_3216,1,1uF,
C2,1206,1,4.7uF,
D1,LEDC2012X70N,1,LED,
J1,61300311121,1,3 POS,
"J4, J5",TSW-116-07-G-D,2,TSW-116-07-G-D,
R1,RC1206N,1,200,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R36, R4, R5, R6, R7, R8, R9",1206,33,220,
U$1,ADAFRUIT_FEATHER_ESP32,1,ADAFRUIT_FEATHER_ESP32,
U1,SOT65P210X110-6N,1,MCP4018T-503E_LT,MCP4018T-503E/LT
"U10, U11, U12, U13, U14, U7, U8, U9",RW_20,8,ADG333ABRZ,
U15,QFP50P900X900X120-49N,1,ADG732BSUZ,
"U16, U17, U18, U19, U20, U21, U22, U23",SOP65P640X110-14N,8,LMV324MT,
U24,SOT95P280X145-5N,1,TLV73318PDBVR,
"U3, U4",SOIC127P1030X265-24N,2,CD74HC154M,
U5,SOIC8_D_TEX,1,TLV9152IDR,
U6,SOT95P280X145-5N,1,SN74LVC1G04DBVT,
