Designator,Mid X,Mid Y,Rotation,Layer
C1,134.5311,-63.5636,0.0,bottom
C2,128.1811,-120.4596,270.0,top
D1,139.6111,-64.5796,0.0,bottom
J1,124.3711,-114.3636,90.0,top
J4,146.5961,-56.1976,0.0,top
J5,125.6411,-85.1536,270.0,top
R1,143.1671,-64.8336,270.0,bottom
R10,131.7371,-76.2636,180.0,bottom
R11,131.9911,-76.2636,0.0,top
R12,131.7371,-78.8036,180.0,bottom
R13,131.9911,-78.8036,0.0,top
R14,131.7371,-81.3436,180.0,bottom
R15,131.9911,-81.3436,0.0,top
R16,131.7371,-83.8836,180.0,bottom
R17,131.9911,-83.8836,0.0,top
R18,131.7371,-86.4236,180.0,bottom
R19,131.9911,-86.4236,0.0,top
R2,131.7371,-66.1036,180.0,bottom
R20,131.7371,-88.9636,180.0,bottom
R21,131.9911,-88.9636,0.0,top
R22,131.7371,-91.5036,180.0,bottom
R23,131.9911,-91.5036,0.0,top
R24,131.7371,-94.0436,180.0,bottom
R25,131.9911,-94.0436,0.0,top
R26,131.7371,-96.4566,180.0,bottom
R27,131.9911,-96.5836,0.0,top
R28,131.7371,-99.1236,180.0,bottom
R29,131.9911,-99.1236,0.0,top
R3,131.9911,-66.1036,0.0,top
R30,131.7371,-101.6636,180.0,bottom
R31,131.9911,-101.6636,0.0,top
R32,131.7371,-104.3306,180.0,bottom
R33,131.9911,-104.2036,0.0,top
R36,158.41,-138.49,0.0,top
R4,131.7371,-68.6436,180.0,bottom
R5,131.9911,-68.6436,0.0,top
R6,131.7371,-71.1836,180.0,bottom
R7,131.9911,-71.1836,0.0,top
R8,131.7371,-73.7236,180.0,bottom
R9,131.9911,-73.7236,0.0,top
U$1,146.307,-142.79,0.0,top
U1,166.95,-128.92,0.0,top
U10,150.0251,-74.4856,0.0,top
U11,151.0411,-71.4376,180.0,bottom
U12,163.2331,-71.9456,0.0,top
U13,163.4871,-81.8516,180.0,bottom
U14,150.1521,-92.2656,180.0,top
U15,139.3571,-113.8556,0.0,bottom
U16,139.1031,-67.1196,270.0,top
U17,139.1031,-70.1676,270.0,bottom
U18,138.8491,-77.7876,270.0,top
U19,139.1031,-80.8356,90.0,bottom
U20,138.8491,-88.2016,270.0,top
U21,139.1031,-91.3766,90.0,bottom
U22,139.3571,-99.6316,270.0,top
U23,139.1031,-102.6796,270.0,bottom
U24,132.74,-121.17,90.0,top
U3,153.0731,-120.4596,180.0,bottom
U4,157.3911,-120.4596,180.0,top
U5,167.69,-139.33,0.0,top
U6,166.93,-123.57,0.0,top
U7,151.0411,-92.0116,0.0,bottom
U8,163.3601,-100.3936,0.0,top
U9,163.4871,-101.9176,0.0,bottom
